,birth year,tripduration
0,1885,769.9444444444445
1,1886,1680.857142857143
2,1887,721.8852459016393
3,1888,320.25
4,1890,768.5
5,1894,650.5882352941177
6,1899,1144.5454545454545
7,1900,435.6647834274953
8,1901,1156.7222222222222
9,1907,695.7142857142857
10,1910,218.65
11,1912,1100.7142857142858
12,1916,985.0
13,1917,1094.0
14,1918,462.85714285714283
15,1919,1655.3636363636363
16,1921,234.58333333333334
17,1923,566.6933333333334
18,1929,475.4166666666667
19,1931,594.625
20,1932,401.12068965517244
21,1933,630.7666666666667
22,1934,795.3272727272728
23,1935,810.6153846153846
24,1936,626.7307692307693
25,1937,655.7619047619048
26,1938,552.0260869565218
27,1939,832.0917431192661
28,1940,653.6397058823529
29,1941,672.4980544747082
30,1942,711.5357142857143
31,1943,824.009671179884
32,1944,656.5901116427432
33,1945,608.9059561128527
34,1946,757.7741007194245
35,1947,1113.4096064042694
36,1948,1046.5578391074575
37,1949,767.7712305025997
38,1950,749.0240963855422
39,1951,788.810717643372
40,1952,770.8119760479042
41,1953,720.8127432903094
42,1954,828.0787181594084
43,1955,768.1241221623387
44,1956,780.7304381846635
45,1957,796.8379557146052
46,1958,720.96875
47,1959,781.12194008038
48,1960,711.4676738141651
49,1961,704.4091452991453
50,1962,712.8882079302961
51,1963,694.6834557057572
52,1964,1070.4754666666668
53,1965,690.6376693213532
54,1966,774.5770919249701
55,1967,693.3802816901408
56,1968,722.2593713620489
57,1969,2030.1049270813605
58,1970,739.9870288194276
59,1971,728.3780653950954
60,1972,1418.3896006028635
61,1973,725.5885236293889
62,1974,712.4147057195062
63,1975,718.3659950167912
64,1976,751.182600334025
65,1977,733.2552465106938
66,1978,690.2855226021376
67,1979,709.7556293676128
68,1980,679.4846743295019
69,1981,868.2965897994442
70,1982,758.1788795380119
71,1983,945.6318126766249
72,1984,1158.5995161084936
73,1985,747.7131477540692
74,1986,671.9482534829386
75,1987,721.9367603763782
76,1988,800.8865494245456
77,1989,789.8587071706111
78,1990,720.6878673037843
79,1991,735.8205539826625
80,1992,670.7865398776935
81,1993,707.4409390505814
82,1994,786.0328112118714
83,1995,1494.9366734090556
84,1996,729.4187125931354
85,1997,721.8096438701544
86,1998,719.4050532964864
87,1999,698.976677316294
88,2000,725.3429978118162
89,2001,876.1837381203801
90,2002,7726.222222222223
